#                   Hops
#                   Run-1 39-42       Run-1 22-25        Run-2 28,37-38,58        
#max_concurrency    tokens/s            tokens/s         tokens/s                 
#---------------    -----------       ------------       -----------              
1                  12.49             12.49              12.51                    
2                  24.88             24.90              24.91                    
4                  49.32             49.39              49.47                    
8                  96.17             96.25              96.49                    
16                 183.79            185.08             183.26                   
32                 341.84            347.24             342.10                   
64                 566.30            599.53             566.96                   
128                934.50            889.01             884.37                   
256                1133.88           1158.11            X                        
512                1527.45           1225.20            X                        
1024               0.80              1256.34            X                        
