#                  Hops                                                                             Goodall
#                  Run-1 hops44    Run-2 hops1     Run-3 hops6    Run-4 hops29    Run-5 hops17      Run-1 goodall05 Run-2 goodall05
#max_concurrency     tokens/s        tokens/s        tokens/s       tokens/s        tokens/s          tokens/s       tokens/s
#---------------   ------------    -----------     -----------    -----------     -----------       ------------    -----------
1                  76.53          76.45           76.51          76.70           76.24             72.92           72.32   
2                  135.58         134.97          134.95         135.04          134.41            129.96          129.78  
4                  203.16         202.36          202.81         203.23          202.38            209.14          208.82  
8                  300.37         299.95          300.31         301.01          299.66            320.06          320.15  
16                 428.44         426.29          427.22         426.88          425.97            461.85          461.44  
32                 604.34         602.25          602.79         602.03          601.00            620.51          620.03  
64                 777.81         777.85          778.00         776.22          775.38            798.74          797.92  
128                944.59         944.55          946.56         943.30          944.33            950.70          951.56  
256                1372.10        1373.22         1373.42        1367.10         1372.60           1442.66         1439.73 
512                1752.35        1744.46         1751.70        1736.22         1746.15           1865.01         1858.56 
1024               1795.20        1816.39         1783.79        1778.84         1799.46           1900.39         1928.05 
