#                  Hops                            Eldorado
#                  Run-1 hops15    Run-2 hops15    Run-1 eldo1002  Run-2 eldo1007
#max_concurrency     tokens/s        tokens/s        tokens/s        tokens/s 
#---------------   ------------    -----------     -----------     -----------
1                 103.30          103.08          47.96           47.72   
2                 192.03          191.95          96.42           94.22   
4                 336.32          336.26          182.09          181.62  
8                 548.38          545.44          321.58          325.46  
16                844.66          844.50          484.37          474.21  
32                1186.30         1188.28         529.59          486.94  
64                1820.15         1819.36         785.61          738.27  
128               2715.97         2736.95         1167.82         1115.56 
256               3622.24         3616.07         1605.42         1529.46 
512               4134.42         4168.74         1787.02         1699.45 
1024              4313.11         4308.91         1898.76         1792.21 
